,SKS,IPK,dum_grade,lulus_4_tahun
61,117,2.1102564102564103,12.0,0
62,125,2.7408,3.0,0
63,136,3.110294117647059,1.0,0
64,145,3.37448275862069,1.0,0
65,118,2.8762711864406776,3.0,0
66,127,2.5511811023622046,8.0,0
67,145,3.127586206896552,2.0,0
68,145,3.2089655172413796,2.0,0
69,145,3.182758620689655,0.0,1
70,145,3.802758620689655,0.0,1
71,145,3.322758620689655,1.0,0
72,145,3.219310344827586,2.0,0
73,145,3.518620689655173,0.0,1
74,145,3.5020689655172417,0.0,1
75,145,3.1413793103448278,0.0,1
76,132,2.687121212121212,5.0,0
77,145,3.3937931034482762,1.0,0
78,145,3.4117241379310346,0.0,1
79,119,2.7789915966386554,4.0,0
80,145,3.426206896551724,0.0,1
81,135,2.845925925925926,2.0,0
82,145,3.336551724137931,2.0,0
83,127,2.338582677165354,10.0,0
84,145,3.882068965517241,0.0,1
85,109,1.6486238532110093,18.0,0
86,145,3.43448275862069,1.0,0
87,145,3.308965517241379,1.0,0
88,136,2.8286764705882352,6.0,0
89,132,3.025,1.0,0
90,119,1.9890756302521007,13.0,0
91,129,2.9131782945736435,2.0,0
92,130,3.1799999999999997,2.0,0
93,145,3.587586206896552,0.0,1
94,145,3.5151724137931035,0.0,1
95,146,3.1931506849315068,2.0,0
96,127,3.7645669291338586,0.0,0
97,123,3.355284552845528,0.0,0
98,123,3.8739837398373984,0.0,0
99,127,3.6251968503937007,0.0,0
100,127,3.9393700787401578,0.0,0
101,123,3.924390243902439,0.0,0
102,113,2.492035398230089,6.0,0
103,122,2.9754098360655736,3.0,0
104,124,3.174193548387097,2.0,0
105,121,3.550413223140496,0.0,0
106,121,3.15702479338843,2.0,0
107,119,3.722689075630252,0.0,0
108,111,2.863063063063063,3.0,0
109,101,2.4534653465346534,8.0,0
110,112,2.8973214285714284,2.0,0
111,123,3.5089430894308946,1.0,0
112,124,3.1919354838709677,1.0,0
113,125,3.1992000000000003,1.0,0
114,124,3.35241935483871,1.0,0
115,124,3.4733870967741933,1.0,0
116,114,2.7605263157894737,5.0,0
117,123,3.1341463414634148,0.0,0
118,110,2.5918181818181822,6.0,0
119,123,3.295934959349594,0.0,0
120,101,2.257425742574257,11.0,0
121,120,3.1075000000000004,2.0,0
122,117,2.9350427350427353,3.0,0
123,127,3.0897637795275594,1.0,0
124,124,3.142741935483871,2.0,0
125,111,2.9135135135135135,1.0,0
126,108,2.4962962962962965,6.0,0
127,121,3.277685950413223,0.0,0
128,124,3.7903225806451615,0.0,0
129,119,3.185714285714286,2.0,0
130,106,2.699056603773585,2.0,0
131,96,2.35625,6.0,0
132,107,2.595327102803738,5.0,0
133,99,2.8333333333333335,2.0,0
134,117,3.034188034188034,3.0,0
135,102,2.357843137254902,9.0,0
136,121,2.9396694214876034,3.0,0
137,122,3.2549180327868856,1.0,0
138,127,3.5952755905511813,0.0,0
139,107,2.294392523364486,9.0,0
140,118,3.0762711864406778,1.0,0
141,110,2.4054545454545457,10.0,0
142,124,3.361290322580645,2.0,0
143,121,3.0421487603305786,2.0,0
